contrastive_loss,nupdates,value_loss,explained_variance,reconstruct_loss,policy_loss,atten_decoder_loss,policy_entropy,fps,atten_encoder_loss,total_timesteps,ep_len_mean,ep_reward_mean,fps_eval,explained_variance_eval,total_timesteps_eval,ep_len_mean_eval,ep_reward_mean_eval
1.9971953630447388,500,0.0750875324010849,0.000597834587097168,0.01733705773949623,0.08164198696613312,0.00042431801557540894,1.380629539489746,249,0.0009507948416285217,1580000,183.53,1.39,,,,,
1.997347354888916,1000,0.09584351629018784,0.0008856654167175293,0.017278729006648064,0.13400647044181824,0.00039461409323848784,1.3674421310424805,250,0.0013615874340757728,1620000,183.75,1.39,,,,,
,,,,,,,,,,,,,466,-0.028939008712768555,1640080,187.32,1.48
1.9964067935943604,1,0.09879772365093231,0.00034677982330322266,0.01727844774723053,0.09400399774312973,0.00034350273199379444,1.3652222156524658,304,0.00043190130963921547,1650080,189.47,1.56,,,,,
1.9990105628967285,500,0.012978779152035713,0.0005910396575927734,0.017435137182474136,0.004092565272003412,0.00033991632517427206,1.370063066482544,283,0.001835157978348434,1690000,173.72,1.17,,,,,
1.9981954097747803,1000,0.028138216584920883,0.0004044771194458008,0.017293665558099747,0.0015568608650937676,0.0003609832492657006,1.3664425611495972,283,0.0013839518651366234,1730000,191.22,1.61,,,,,
,,,,,,,,,,,,,474,0.0004107356071472168,1750080,179.27,1.29
1.9984405040740967,1,0.007157324347645044,-0.007918357849121094,0.01727410964667797,-0.05171773582696915,0.0003435191174503416,1.384530782699585,244,0.0032840885687619448,1760080,177.85,1.29,,,,,
1.9984848499298096,500,2.2420073946705088e-05,0.024942874908447266,0.017230527475476265,-0.005941174458712339,0.00035153384669683874,1.3856532573699951,278,0.0018823578720912337,1800000,182.58,1.33,,,,,
1.9979736804962158,1000,0.036255449056625366,-0.0003476142883300781,0.017412861809134483,-0.021596794947981834,0.00031962612411007285,1.3853822946548462,274,0.0009133673156611621,1840000,182.11,1.38,,,,,
,,,,,,,,,,,,,449,0.0007042884826660156,1860080,178.76,1.26
