value_loss,explained_variance,reconstruct_loss,contrastive_loss,atten_decoder_loss,total_timesteps,policy_loss,fps,atten_encoder_loss,policy_entropy,nupdates,ep_len_mean,ep_reward_mean,total_timesteps_eval,fps_eval,explained_variance_eval,ep_reward_mean_eval,ep_len_mean_eval
0.0041327523067593575,-0.005639791488647461,0.01723622716963291,1.9968143701553345,0.018851211294531822,21420000,-0.03861422464251518,279,0.00010389987437520176,1.3821437358856201,1000,202.33,1.93,,,,,
,,,,,,,,,,,,,21440080,342,-0.018227219581604004,1.43,183.6
0.002720889635384083,-0.0052416324615478516,0.017399508506059647,1.9967607259750366,0.015289602801203728,21450080,-0.024372462183237076,264,3.626740726758726e-05,1.3799619674682617,1,199.78,1.88,,,,,
0.002414044225588441,-0.005648136138916016,0.017262469977140427,1.9869823455810547,0.020333319902420044,21490000,-0.026410922408103943,274,6.685819244012237e-05,1.3825081586837769,500,179.99,1.43,,,,,
0.03012349270284176,0.000274658203125,0.01752440817654133,1.9987901449203491,0.019341228529810905,21530000,-0.0018029060447588563,275,0.00014033124898560345,1.3812310695648193,1000,172.1,1.19,,,,,
,,,,,,,,,,,,,21550080,476,-0.0026253461837768555,1.37,180.2
0.006688344292342663,-0.00957190990447998,0.01734193041920662,1.9972097873687744,0.020414944738149643,21560080,-0.0439167395234108,280,5.8850240748142824e-05,1.3848114013671875,1,189.1,1.55,,,,,
0.001848887070082128,-0.009602904319763184,0.017257319763302803,1.9967231750488281,0.018793713301420212,21600000,-0.02222704142332077,278,2.3497552319895476e-05,1.3830766677856445,500,176.76,1.22,,,,,
0.024197271093726158,0.0012371540069580078,0.017258616164326668,1.9958693981170654,0.02128235623240471,21640000,0.024687087163329124,279,0.0,1.3852474689483643,1000,186.67,1.44,,,,,
,,,,,,,,,,,,,21660080,395,-0.01756119728088379,1.51,185.79
0.004240530543029308,-0.0031546354293823242,0.01733436994254589,1.9966073036193848,0.014314865693449974,21670080,-0.03787366300821304,277,3.268872023909353e-05,1.3844988346099854,1,175.18,1.3,,,,,
4.184762292425148e-05,-0.05277693271636963,0.017292413860559464,1.9962091445922852,0.01987190917134285,21710000,-0.008061511442065239,280,2.1681911675841548e-05,1.3841365575790405,500,177.17,1.26,,,,,
0.0010208445601165295,-0.005163073539733887,0.017413519322872162,1.9973267316818237,0.015270190313458443,21750000,-0.015053329057991505,280,1.0409840797365177e-05,1.3839393854141235,1000,185.94,1.48,,,,,
,,,,,,,,,,,,,21770080,351,0.0009529590606689453,1.13,170.92
0.025465235114097595,0.0010156631469726562,0.01735488511621952,1.9981281757354736,0.020365847274661064,21780080,0.022177614271640778,288,2.219937050540466e-05,1.385688066482544,1,184.02,1.46,,,,,
0.07148917019367218,0.0004476308822631836,0.017242668196558952,1.9939510822296143,0.018323764204978943,21820000,0.09364983439445496,282,5.681126640411094e-05,1.3816063404083252,500,181.21,1.35,,,,,
