fps,policy_entropy,value_loss,atten_encoder_loss,reconstruct_loss,nupdates,total_timesteps,policy_loss,contrastive_loss,atten_decoder_loss,explained_variance,ep_len_mean,ep_reward_mean,fps_eval,total_timesteps_eval,explained_variance_eval,ep_reward_mean_eval,ep_len_mean_eval
213,1.3849555253982544,0.0007886998355388641,6.887796189403161e-05,0.017408674582839012,1000,3160000,-0.013294713571667671,1.9986851215362549,0.028940048068761826,-0.006912350654602051,185.86,1.44,,,,,
,,,,,,,,,,,,,286,3180080,-0.007521152496337891,1.53,184.53
221,1.38321852684021,0.028080379590392113,9.45215142564848e-05,0.017002100124955177,1,3190080,0.0007583692786283791,1.996300458908081,0.032229743897914886,5.072355270385742e-05,188.74,1.54,,,,,
227,1.3850641250610352,0.0011102911084890366,0.00010686129098758101,0.017378821969032288,500,3230000,-0.01657145656645298,1.9968013763427734,0.03685701638460159,-0.008386373519897461,172.15,1.1,,,,,
226,1.3849029541015625,0.0020117354579269886,6.094788477639668e-05,0.017257075756788254,1000,3270000,-0.021063735708594322,1.9973762035369873,0.03016430139541626,-0.0036982297897338867,189.79,1.59,,,,,
,,,,,,,,,,,,,377,3290080,0.0002480149269104004,1.28,176.32
252,1.38387930393219,0.008097595535218716,2.7930474971071817e-05,0.017302703112363815,1,3300080,-0.05016428977251053,1.996432900428772,0.033706437796354294,-0.0066471099853515625,181.31,1.32,,,,,
218,1.3843059539794922,0.028520718216896057,8.45977701828815e-05,0.017272401601076126,500,3340000,-0.13658156991004944,1.9966611862182617,0.0312209390103817,-0.007686018943786621,199.4,1.82,,,,,
224,1.3858964443206787,0.05251450091600418,7.897691102698445e-05,0.017518529668450356,1000,3380000,0.029540207237005234,1.9974653720855713,0.03435897082090378,0.0003326535224914551,183.48,1.44,,,,,
,,,,,,,,,,,,,323,3400080,0.0005585551261901855,1.51,187.53
307,1.3850550651550293,0.0033073611557483673,4.951675873599015e-05,0.017232723534107208,1,3410080,-0.032408393919467926,1.996494174003601,0.030559634789824486,-0.005940079689025879,193.12,1.77,,,,,
254,1.3831961154937744,0.0009739578817971051,0.0,0.01717512123286724,500,3450000,-0.014129901304841042,1.997315526008606,0.03604062646627426,-0.030636072158813477,187.48,1.5,,,,,
240,1.3853181600570679,0.05150267481803894,5.9172994951950386e-05,0.017282143235206604,1000,3490000,0.03074706718325615,1.9985160827636719,0.028290310874581337,0.0007050037384033203,182.7,1.38,,,,,
,,,,,,,,,,,,,301,3510080,-0.012356758117675781,1.39,183.18
239,1.3855102062225342,0.005312067456543446,3.470218143775128e-05,0.017348233610391617,1,3520080,-0.043525997549295425,1.9963974952697754,0.031150341033935547,-0.0059691667556762695,184.33,1.43,,,,,
235,1.3838319778442383,0.005243930034339428,2.934330223069992e-05,0.017513593658804893,500,3560000,-0.048523157835006714,1.999849557876587,0.032332319766283035,-0.00886678695678711,190.16,1.56,,,,,
240,1.3833897113800049,0.002534041181206703,7.109154830686748e-05,0.016925178468227386,1000,3600000,-0.03022109903395176,1.9923651218414307,0.03324490040540695,-0.017784833908081055,185.85,1.53,,,,,
,,,,,,,,,,,,,369,3620080,0.0005066990852355957,1.2,175.02
214,1.3833286762237549,0.03881411999464035,0.0001668260811129585,0.017087146639823914,1,3630080,0.029015645384788513,1.9957473278045654,0.02875211276113987,0.0013676285743713379,183.99,1.41,,,,,
250,1.382370114326477,0.05837887525558472,0.00010433900024509057,0.017296256497502327,500,3670000,0.00790965836495161,1.9976236820220947,0.029610976576805115,8.356571197509766e-05,171.31,1.08,,,,,
246,1.382660150527954,0.0037970389239490032,0.00015653726586606354,0.01756133697926998,1000,3710000,-0.030506620183587074,1.9984889030456543,0.027696136385202408,-0.006262063980102539,176.78,1.27,,,,,
,,,,,,,,,,,,,484,3730080,0.0014096498489379883,1.33,181.78
