explained_variance,atten_decoder_loss,atten_encoder_loss,contrastive_loss,value_loss,policy_entropy,fps,nupdates,policy_loss,total_timesteps,reconstruct_loss,ep_reward_mean,ep_len_mean,total_timesteps_eval,explained_variance_eval,fps_eval,ep_reward_mean_eval,ep_len_mean_eval
0.9938906994648278,0.0993635430932045,0.026041775941848755,1.889291524887085,0.0012637169566005468,1.3450857400894165,214,1000,0.021762704476714134,3050000,0.017459435388445854,2.23,212.74,,,,,
,,,,,,,,,,,,,3070080,0.8423730731010437,377,1.97,201.69
0.8572996109724045,0.09959378838539124,0.025572124868631363,2.033087730407715,0.0264753345400095,1.3335492610931396,276,1,-0.01479162834584713,3080080,0.017453201115131378,1.93,197.74,,,,,
0.954780999571085,0.10137464106082916,0.026692477986216545,1.957566499710083,0.006769105792045593,1.354172945022583,219,500,-0.012095915153622627,3120000,0.01727995090186596,2.36,219.09,,,,,
0.956205602735281,0.09337229281663895,0.026637453585863113,1.9007165431976318,0.009042960591614246,1.3575164079666138,219,1000,0.016784507781267166,3160000,0.01742308773100376,1.72,194.84,,,,,
,,,,,,,,,,,,,3180080,0.7891561090946198,330,1.91,203.16
0.9674951247870922,0.0919843465089798,0.02648542821407318,2.016845703125,0.006773610599339008,1.3544483184814453,209,1,-0.003735724138095975,3190080,0.01715261861681938,2.54,221.6,,,,,
0.9951178804039955,0.09364385157823563,0.02656964771449566,1.9254945516586304,0.001106219133362174,1.353223204612732,214,500,0.0026134117506444454,3230000,0.01730223000049591,2.1,207.23,,,,,
0.9762699771672487,0.09803144633769989,0.02538323402404785,1.9787898063659668,0.008444571867585182,1.3427010774612427,227,1000,-0.029480647295713425,3270000,0.01744716241955757,2.13,206.15,,,,,
,,,,,,,,,,,,,3290080,0.9149292260408401,337,1.87,200.36
0.9730866048485041,0.11067269742488861,0.026344189420342445,1.9601352214813232,0.0049581220373511314,1.342348337173462,223,1,-0.006575745530426502,3300080,0.01733999140560627,2.29,213.12,,,,,
0.9818505011498928,0.10851434618234634,0.02626962400972843,2.0692148208618164,0.0038048196583986282,1.3409497737884521,215,500,-0.016104962676763535,3340000,0.017524641007184982,2.14,209.27,,,,,
